Pokemon Name,Entropy,Average Pokemon Remaining
Wormadam Plant Cloak,3.7393598623141258,88.42812459181826
Azumarill,3.7392426488461052,88.43530933144001
Charmeleon,3.7387971528517925,88.46262186696946
Raticate,3.737700460949947,88.52989396673884
Dugtrio,3.7374713829133914,88.54395228391246
Torchic,3.736185777392678,88.62289019152502
Empoleon,3.735855841065001,88.64316007106744
Metang,3.7351025382034924,88.68945716129748
Noibat,3.734207063124977,88.74452344284295
Silvally,3.7335051482346056,88.78771085001534
Minun,3.7321617741448816,88.87042456009618
Plusle,3.7321617741448816,88.87042456009618
Marshadow,3.7313823936261263,88.91844759202935
Mega Pinsir,3.7307864262314676,88.95518677873982
Blipbug,3.7289069634526215,89.07114816121145
Electrode,3.728856184435991,89.07428328317718
Crocalor,3.7279344042570575,89.13121364080565
Hoothoot,3.7278739961450817,89.13494579549322
Hisuian Samurott,3.7277687885713333,89.14144613898652
Mega Pidgeot,3.719220859329059,89.67117456899432
Gliscor,3.7186573314594336,89.70620766674543
Raichu,3.718412467796349,89.72143448473716
Mankey,3.7172710912662326,89.79244495899998
Lotad,3.7157494866162044,89.88719864849634
Bronzong,3.7145432253140704,89.96238625768947
Espurr,3.71385379776168,90.00538728553849
Cursola,3.712215489210606,90.10765446480575
Tauros,3.7085572381457106,90.33643095437283
Electabuzz,3.706940003683085,90.43775320255119
Lairon,3.7043909011182743,90.59768921725131
Spidops,3.7038230761984616,90.63335423947476
Regirock,3.7035759231601735,90.64888228045506
Bellossom,3.702433421847682,90.72069751730785
Vikavolt,3.7016295709272464,90.77125999558257
Doublade,3.6997532534718953,90.88939064413965
Masquerain,3.698297065989368,90.98117636916619
Solosis,3.6963487435632825,91.10412710242667
Alolan Ninetales,3.694375758225897,91.22880353521667
Helioptile,3.6943664220099564,91.22939391262952
Mega Sceptile,3.6941570114778908,91.24263703190877
Yanmega,3.6927020806845117,91.33469992797266
Diancie,3.6908723944668385,91.45060790028167
Floragato,3.6904986101749397,91.47430468186052
Rolycoly,3.690400882131254,91.48050135363214
Galarian Meowth,3.689372337831653,91.5457440376595
Flareon,3.6886263171278713,91.59309478002285
Yamper,3.687054780088135,91.69292209200992
Mabosstiff,3.6851391553011403,91.81475373029717
Celebi,3.6822189997913863,92.00078395729692
Magnezone,3.68208860612116,92.00909954838578
Rillaboom,3.6820122841832648,92.01396717344453
Ledyba,3.6812095744558633,92.06517762060699
Blacephalon,3.680913486060531,92.08407435719478
Gligar,3.6736005737090998,92.55202659027806
Aron,3.673019185312394,92.58933143738719
Quagsire,3.671175576703542,92.70772624521841
Ursaring,3.670922722873379,92.72397608136467
Yanma,3.669525080343869,92.81384799681935
Grimer,3.667474360657183,92.94587210450212
Wishiwashi School Form,3.6657605111470577,93.05635275891636
Wiglett,3.6642460536514148,93.1540892055356
Orbeetle,3.662840112342825,93.24491437330968
Manaphy,3.6624976584483884,93.2670506344965
Hatenna,3.6613763445002707,93.3395692850993
Hisuian Decidueye,3.660583445366691,93.39088241970038
Crustle,3.659046602906042,93.49042081368206
Noctowl,3.6586110291183975,93.51865139844874
Magcargo,3.6585121021325864,93.52506428214055
Mareanie,3.6583746091249414,93.53397791585058
Mega Blaziken,3.6514982980298214,93.98085263026424
Oricorio Baile Style,3.650540629571811,94.0432583184678
Dusknoir,3.649949919594893,94.08177211649297
Chatot,3.6498021058253736,94.09141191799014
Victini,3.6497212938814343,94.09668255568754
Mega Heracross,3.648864122502601,94.15260632793203
Tapu Koko,3.648636618756087,94.16745476025427
Magmar,3.648459117784759,94.1790412996847
Armaldo,3.6460217832024338,94.33828482517781
Misdreavus,3.6439773150833963,94.47206801267764
Salamence,3.6430097809514224,94.53544634604145
Goodra,3.642815017463367,94.54820947034747
Anorith,3.642054833271832,94.59804189604206
Jolteon,3.6416591007765478,94.62399377975585
Walrein,3.6414098245875395,94.64034480737556
Squirtle,3.6412142714004654,94.65317390492245
Pinsir,3.6389397989050924,94.80251650868573
Mega Houndoom,3.6377259929247137,94.88231180807017
Hisuian Braviary,3.636370497760295,94.97150110280052
Minior Meteor Form,3.6328509007380747,95.20347630658522
Mega Slowbro,3.6324127057684827,95.23239719381054
Aegislash,3.631810751843025,95.2721405038556
Machop,3.6315134626739676,95.29177479461879
Salandit,3.6296638237954895,95.41402405783627
